[s],CH2[V]
3.59998E-07,4.860871101E-02
3.69998E-07,4.895744016E-02
3.79998E-07,4.915794447E-02
3.89998E-07,4.981088048E-02
3.99998E-07,5.005725939E-02
4.09998E-07,4.991145021E-02
4.19998E-07,4.984153825E-02
4.29998E-07,4.984857828E-02
4.39998E-07,4.997888453E-02
4.49998E-07,4.973779946E-02
4.59998E-07,4.938830547E-02
4.69998E-07,4.976953489E-02
4.79998E-07,4.988630277E-02
4.89998E-07,5.058607183E-02
4.99998E-07,5.058495126E-02
5.09998E-07,5.046845040E-02
5.19998E-07,5.036157116E-02
5.29998E-07,5.025846847E-02
5.39998E-07,5.060255895E-02
5.49998E-07,5.067490469E-02
5.59998E-07,5.081321513E-02
5.69998E-07,5.089893710E-02
5.79998E-07,5.105678547E-02
5.89998E-07,5.118578423E-02
5.99998E-07,5.088744437E-02
6.09998E-07,5.084096896E-02
6.19998E-07,5.141687002E-02
6.29998E-07,5.123866356E-02
6.39998E-07,5.110056579E-02
6.49998E-07,5.058765588E-02
6.59998E-07,4.945449905E-02
6.69998E-07,4.841716837E-02
6.79998E-07,4.827021002E-02
6.89998E-07,4.841764521E-02
6.99998E-07,4.872747875E-02
7.09998E-07,4.886680486E-02
7.19998E-07,4.918825796E-02
7.29998E-07,4.949490433E-02
7.39998E-07,4.928255252E-02
7.49998E-07,4.886025025E-02
7.59998E-07,4.821299051E-02
7.69998E-07,4.821343874E-02
7.79998E-07,4.825042223E-02
7.89998E-07,4.847729850E-02
7.99998E-07,4.904401186E-02
8.09998E-07,4.890598847E-02
8.19998E-07,4.873203446E-02
8.29998E-07,4.879719044E-02
8.39998E-07,4.918211249E-02
8.49998E-07,4.976174051E-02
8.59998E-07,5.002736361E-02
8.69998E-07,5.061711679E-02
8.79998E-07,5.099855220E-02
8.89998E-07,5.121143330E-02
8.99998E-07,5.104374588E-02
9.09998E-07,5.064620004E-02
9.19998E-07,5.006850798E-02
9.29998E-07,4.966580945E-02
9.39998E-07,4.915609720E-02
9.49998E-07,4.897967508E-02
9.59998E-07,4.837907194E-02
9.69998E-07,4.699406879E-02
9.79998E-07,4.634701123E-02
9.89998E-07,4.645204129E-02
9.99998E-07,4.667114702E-02
1.01000E-06,4.674874464E-02
1.02000E-06,4.660059610E-02
1.03000E-06,4.656459203E-02
1.04000E-06,4.678992716E-02
1.05000E-06,4.718889969E-02
1.06000E-06,4.721622246E-02
1.07000E-06,4.779673931E-02
1.08000E-06,4.887696149E-02
1.09000E-06,4.964546185E-02
1.10000E-06,5.038673291E-02
1.11000E-06,5.050991044E-02
1.12000E-06,4.972209340E-02
1.13000E-06,4.913201311E-02
1.14000E-06,4.938379554E-02
1.15000E-06,5.010802253E-02
1.16000E-06,5.034459004E-02
1.17000E-06,5.034647164E-02
1.18000E-06,5.086687552E-02
1.19000E-06,5.080024992E-02
1.20000E-06,5.059515272E-02
1.21000E-06,5.008480246E-02
1.22000E-06,4.953646355E-02
1.23000E-06,4.975144178E-02
1.24000E-06,4.964182072E-02
1.25000E-06,4.981168348E-02
1.26000E-06,5.021480545E-02
1.27000E-06,4.952868443E-02
1.28000E-06,4.928218535E-02
1.29000E-06,4.948013382E-02
1.30000E-06,5.023314746E-02
1.31000E-06,5.032275661E-02
1.32000E-06,4.986965067E-02
1.33000E-06,4.984186060E-02
1.34000E-06,4.970475179E-02
1.35000E-06,4.943689136E-02
1.36000E-06,4.944401531E-02
1.37000E-06,4.916146448E-02
1.38000E-06,4.990939218E-02
1.39000E-06,5.054098497E-02
1.40000E-06,5.098502910E-02
1.41000E-06,5.163106623E-02
1.42000E-06,5.136692418E-02
1.43000E-06,5.033656582E-02
1.44000E-06,5.004840548E-02
1.45000E-06,5.035545334E-02
1.46000E-06,4.979030401E-02
1.47000E-06,4.883301045E-02
1.48000E-06,4.877402188E-02
1.49000E-06,4.902386072E-02
1.50000E-06,4.879534222E-02
1.51000E-06,4.858016467E-02
1.52000E-06,4.777276775E-02
1.53000E-06,4.740887041E-02
1.54000E-06,4.785928127E-02
1.55000E-06,4.791183922E-02
1.56000E-06,4.867888714E-02
1.57000E-06,4.855868602E-02
1.58000E-06,4.752611227E-02
1.59000E-06,4.767303916E-02
1.60000E-06,4.860348392E-02
1.61000E-06,4.934818916E-02
1.62000E-06,4.903461340E-02
