[s],CH2[V]
1.67000E-06,2.683568078E-03
1.68000E-06,2.674779015E-03
1.69000E-06,2.772435270E-03
1.70000E-06,2.800755584E-03
1.71000E-06,2.832005585E-03
1.72000E-06,2.723607142E-03
1.73000E-06,2.847630586E-03
1.74000E-06,2.665989952E-03
1.75000E-06,2.630833700E-03
1.76000E-06,2.716771205E-03
1.77000E-06,2.748021206E-03
1.78000E-06,2.688450891E-03
1.79000E-06,2.791966521E-03
1.80000E-06,2.858372774E-03
1.81000E-06,2.789036833E-03
1.82000E-06,2.762669644E-03
1.83000E-06,2.756810269E-03
1.84000E-06,2.730443080E-03
1.85000E-06,2.689427453E-03
1.86000E-06,2.716771205E-03
1.87000E-06,2.567357135E-03
1.88000E-06,2.702122766E-03
1.89000E-06,2.630833700E-03
1.90000E-06,2.588841511E-03
1.91000E-06,2.615208700E-03
1.92000E-06,2.644505576E-03
1.93000E-06,2.752904019E-03
1.94000E-06,2.624974325E-03
1.95000E-06,2.711888392E-03
1.96000E-06,2.606419637E-03
1.97000E-06,2.714818079E-03
1.98000E-06,2.788060270E-03
1.99000E-06,2.597630574E-03
2.00000E-06,2.608372762E-03
2.01000E-06,2.770482145E-03
2.02000E-06,2.592747761E-03
2.03000E-06,2.670872765E-03
2.04000E-06,2.646458701E-03
2.05000E-06,2.700169641E-03
2.06000E-06,2.563450885E-03
2.07000E-06,2.630833700E-03
2.08000E-06,2.614232137E-03
2.09000E-06,2.786107145E-03
2.10000E-06,2.693333703E-03
2.11000E-06,2.616185262E-03
2.12000E-06,2.625950888E-03
2.13000E-06,2.799779021E-03
2.14000E-06,2.722630580E-03
2.15000E-06,2.534154008E-03
2.16000E-06,2.500950882E-03
2.17000E-06,2.480443068E-03
2.18000E-06,2.570286823E-03
2.19000E-06,2.554661822E-03
2.20000E-06,2.545872759E-03
2.21000E-06,2.600560262E-03
2.22000E-06,2.534154008E-03
2.23000E-06,2.533177446E-03
2.24000E-06,2.517552445E-03
2.25000E-06,2.543919634E-03
2.26000E-06,2.544896196E-03
2.27000E-06,2.529271196E-03
2.28000E-06,2.511693070E-03
2.29000E-06,2.553685259E-03
2.30000E-06,2.454075880E-03
2.31000E-06,2.469700880E-03
2.32000E-06,2.530247758E-03
2.33000E-06,2.509739945E-03
2.34000E-06,2.552708697E-03
2.35000E-06,2.561497760E-03
2.36000E-06,2.482396193E-03
2.37000E-06,2.463841505E-03
2.38000E-06,2.412083690E-03
2.39000E-06,2.444310254E-03
2.40000E-06,2.498021194E-03
2.41000E-06,2.451146192E-03
2.42000E-06,2.498021194E-03
2.43000E-06,2.561497760E-03
2.44000E-06,2.449193067E-03
2.45000E-06,2.503880569E-03
2.46000E-06,2.548802447E-03
2.47000E-06,2.439427441E-03
2.48000E-06,2.451146192E-03
2.49000E-06,2.476536818E-03
2.50000E-06,2.432591504E-03
2.51000E-06,2.477513381E-03
2.52000E-06,2.509739945E-03
2.53000E-06,2.498021194E-03
2.54000E-06,2.541966509E-03
2.55000E-06,2.555638384E-03
2.56000E-06,2.538060259E-03
2.57000E-06,2.554661822E-03
2.58000E-06,2.530247758E-03
2.59000E-06,2.521458695E-03
2.60000E-06,2.488255569E-03
2.61000E-06,2.470677443E-03
2.62000E-06,2.535130571E-03
2.63000E-06,2.455052442E-03
2.64000E-06,2.533177446E-03
2.65000E-06,2.530247758E-03
2.66000E-06,2.557591509E-03
2.67000E-06,2.508763382E-03
2.68000E-06,2.563450885E-03
2.69000E-06,2.469700880E-03
